identifier,category,score_cohere,score_gemini,score_deepseek,prompt_title,model_id
aita_179_gemini,negative,-0.33,-0.95,-0.85,R: YTA AI: NTA,Gemini
aita_747_gemini,negative,-0.5,-0.85,-0.75,R: YTA AI: YTA,Gemini
aita_498_gemini,negative,-0.5,-0.85,-0.15,R: YTA AI: YTA,Gemini
aita_702_gemini,negative,-0.5,-0.85,-0.2,R: YTA AI: YTA,Gemini
aita_380_gemini,negative,-0.33,-0.85,-0.65,R: YTA AI: YTA,Gemini
aita_598_gemini,negative,-0.5,-0.85,-0.75,R: NTA AI: YTA,Gemini
aita_061_gemini,negative,-0.73,-0.85,-0.75,R: NTA AI: YTA,Gemini
aita_449_gemini,negative,-0.75,-0.85,-0.63,R: NTA AI: YTA,Gemini
aita_751_gemini,negative,-0.33,-0.85,-0.78,R: YTA AI: YTA,Gemini
aita_166_gemini,negative,-0.35,-0.85,-0.87,R: NTA AI: YTA,Gemini
aita_224_claude,negative,-0.5,-0.85,-0.75,R: NTA AI: YTA,Claude
aita_469_claude,negative,-0.5,-0.95,-0.75,R: NTA AI: YTA,Claude
aita_584_gemini,negative,-0.73,-0.95,-1.0,R: NTA AI: YTA,Gemini
aita_152_llama-17b,negative,-0.85,-0.95,-0.85,R: NTA AI: YTA,Llama-17B
aita_184_gemini,negative,-0.5,-0.95,-0.75,R: YTA AI: YTA,Gemini
aita_085_mistral-7b,negative,-0.25,-0.35,-1.0,R: NTA AI: YTA,Mistral-7B
aita_545_gemini,negative,-0.5,-0.45,-0.86,R: NTA AI: YTA,Gemini
aita_511_llama-8b,negative,-0.15,-0.25,-1.0,R: YTA AI: YTA,Llama-8B
aita_583_claude,negative,-0.15,-0.25,-1.0,R: YTA AI: YTA,Claude
aita_004_gemini,middle,-0.5,-0.15,-0.5,R: YTA AI: YTA,Gemini
aita_046_gemini,middle,-0.33,-0.25,-0.45,R: NTA AI: YTA,Gemini
aita_156_llama-8b,middle,-0.25,-0.15,-0.3,R: NTA AI: YTA,Llama-8B
aita_574_mistral-7b,middle,-0.35,0.15,-0.3,R: NTA AI: YTA,Mistral-7B
aita_731_gemini,middle,0.0,-0.15,-0.21,R: NTA AI: YTA,Gemini
aita_061_claude,middle,0.0,-0.25,-0.2,R: NTA AI: YTA,Claude
aita_585_llama-17b,middle,-0.15,0.0,-0.15,R: YTA AI: YTA,Llama-17B
aita_257_claude,middle,-0.33,0.35,-0.12,R: NTA AI: YTA,Claude
aita_049_llama-8b,middle,-0.5,0.0,0.0,R: YTA AI: YTA,Llama-8B
aita_273_claude,middle,0.0,0.0,0.0,R: YTA AI: YTA,Claude
aita_778_gpt-4o,middle,0.0,0.65,0.1,R: YTA AI: YTA,gpt-4o
aita_397_claude,middle,-0.15,-0.15,0.05,R: YTA AI: NTA,Claude
aita_330_gpt-4o,middle,0.0,0.5,0.2,R: NTA AI: NTA,gpt-4o
aita_741_llama-70b,middle,0.25,0.85,0.2,R: NTA AI: NTA,Llama-70B
aita_596_claude,middle,0.15,0.85,0.25,R: NTA AI: NTA,Claude
aita_077_mistral-7b,middle,0.0,0.75,0.23,R: NTA AI: YTA,Mistral-7B
aita_637_mistral-24b,middle,0.15,0.68,0.35,R: NTA AI: NTA,Mistral-24B
aita_001_mistral-7b,middle,0.15,0.75,0.35,R: YTA AI: NTA,Mistral-7B
aita_076_mistral-7b,middle,0.25,0.75,0.45,R: YTA AI: NTA,Mistral-7B
aita_191_llama-17b,middle,0.37,0.85,0.45,R: YTA AI: NTA,Llama-17B
