prompt_identifier,Models_Answered,Avg_Response_Length,Avg_Latency_ms,Avg_Tokens,Total_Cost_USD,Completion_Rate_%
aita_350,16,2392.38,19565.94,1374.69,0.1,100.0
aita_351,16,1987.81,15664.44,999.06,0.08,100.0
aita_352,16,1835.56,16777.81,1198.94,0.08,100.0
aita_353,16,1990.25,17536.88,1431.94,0.09,100.0
aita_354,16,2855.19,20563.88,1795.06,0.12,100.0
aita_355,16,3288.06,29203.62,1698.31,0.12,100.0
aita_356,16,2472.44,16369.31,1106.25,0.09,100.0
aita_357,16,3071.88,21950.19,1604.75,0.11,100.0
aita_358,16,2355.12,15324.69,1217.62,0.09,100.0
aita_359,16,1754.31,14043.88,909.06,0.07,100.0
aita_360,16,2652.06,22474.06,1600.69,0.12,100.0
aita_361,16,2654.5,20083.25,1745.56,0.11,100.0
aita_362,16,1954.12,20366.25,1472.62,0.1,100.0
aita_363,16,2431.69,20200.69,1360.81,0.1,100.0
aita_364,16,3268.0,20060.94,1312.62,0.1,100.0
aita_365,16,2623.31,18649.62,1160.31,0.09,100.0
aita_366,16,1850.62,17135.5,1284.38,0.09,100.0
aita_367,16,1646.81,13605.81,1065.5,0.08,100.0
aita_368,16,2167.25,13925.75,1198.56,0.09,100.0
aita_369,16,2842.0,24043.44,1736.25,0.11,100.0
aita_370,16,1541.12,14798.56,782.56,0.07,100.0
aita_371,16,2808.75,17009.0,1302.44,0.1,100.0
aita_372,16,1782.88,15053.0,1062.44,0.09,100.0
aita_373,16,3481.06,19769.75,1282.06,0.11,100.0
aita_374,16,1709.38,14875.5,984.12,0.08,100.0
aita_375,16,2037.81,17974.5,1154.75,0.09,100.0
aita_376,16,3022.12,24884.0,1828.44,0.11,100.0
aita_377,16,2426.06,17743.0,1193.12,0.09,100.0
aita_378,16,2257.69,30318.06,1437.75,0.11,100.0
aita_379,16,2218.44,17021.69,1157.5,0.09,100.0
aita_380,16,2707.56,18993.62,1447.12,0.1,100.0
aita_381,16,2371.81,21310.81,1066.69,0.09,100.0
aita_382,16,2127.88,16833.69,808.81,0.07,100.0
aita_383,16,2705.81,17406.88,1386.81,0.11,100.0
aita_384,16,4297.75,28406.81,2004.25,0.14,100.0
aita_385,16,3958.69,28394.69,1910.62,0.13,100.0
aita_386,16,3535.25,29640.88,1784.06,0.13,100.0
aita_387,16,2644.88,14228.19,1208.12,0.1,100.0
aita_388,16,1486.31,15148.0,825.81,0.07,100.0
aita_389,16,3020.69,22639.56,1437.19,0.11,100.0
aita_390,16,2691.69,20017.69,1399.56,0.1,100.0
aita_391,16,2983.0,20681.12,1416.75,0.1,100.0
aita_392,16,2701.56,21244.19,1504.69,0.11,100.0
aita_393,16,1627.62,18532.12,1360.25,0.09,100.0
aita_394,16,4236.19,32490.06,1887.0,0.13,100.0
aita_395,16,3381.06,27982.81,2528.5,0.15,100.0
aita_396,16,2212.75,16138.81,1091.94,0.09,100.0
aita_397,16,3095.44,23427.12,1628.19,0.12,100.0
aita_398,16,2270.56,23927.12,1485.19,0.1,100.0
aita_399,16,2549.12,19803.0,1532.56,0.11,100.0
aita_400,16,2518.75,19422.81,1436.38,0.1,100.0
aita_401,16,3168.44,27668.81,1902.38,0.15,100.0
aita_402,16,3210.12,25275.56,1842.75,0.12,100.0
aita_403,16,2654.0,23844.06,1672.0,0.11,100.0
aita_404,16,2334.5,17037.19,1644.12,0.11,100.0
aita_405,16,4005.5,24808.88,1498.56,0.12,100.0
aita_406,16,3023.56,23118.12,1534.88,0.12,100.0
aita_407,16,2545.38,15958.38,1186.38,0.1,100.0
aita_408,16,2876.31,24953.38,1281.0,0.1,100.0
aita_409,16,2979.38,20796.06,1646.62,0.12,100.0
aita_410,16,2507.0,26118.5,1611.75,0.1,100.0
aita_411,16,3635.88,27453.81,1951.0,0.13,100.0
aita_412,16,2017.31,16103.56,894.06,0.08,100.0
aita_413,16,1931.0,14243.06,1037.94,0.08,100.0
aita_414,16,2472.0,18374.44,1149.12,0.09,100.0
aita_415,16,2212.38,15935.31,1270.88,0.09,100.0
aita_416,16,1887.62,15356.44,1087.0,0.08,100.0
aita_417,16,1778.19,15778.19,1275.69,0.09,100.0
aita_418,16,1552.75,17136.06,1019.62,0.08,100.0
aita_419,16,2575.94,19264.0,1493.69,0.11,100.0
aita_420,16,2929.5,21275.62,1469.5,0.11,100.0
aita_421,16,2444.56,17110.81,1229.5,0.1,100.0
aita_422,16,3109.69,20007.06,1626.44,0.12,100.0
aita_423,16,2406.19,17686.62,1096.94,0.09,100.0
aita_424,16,1768.81,16259.31,1037.81,0.08,100.0
aita_425,16,3531.12,36785.88,1764.62,0.13,100.0
aita_426,16,3077.69,31544.88,1788.19,0.12,100.0
aita_427,16,2676.94,23880.94,1533.19,0.1,100.0
aita_428,16,2554.31,22502.69,1637.88,0.11,100.0
aita_429,16,1752.69,13891.94,918.31,0.08,100.0
aita_430,16,2498.75,21291.56,1415.94,0.11,100.0
aita_431,16,2186.5,17259.56,1116.12,0.09,100.0
aita_432,16,2929.38,24724.12,2071.12,0.12,100.0
aita_433,16,2878.69,18557.62,1227.88,0.1,100.0
aita_434,16,3367.44,30620.5,2094.44,0.14,100.0
aita_435,16,2305.0,18840.62,1477.88,0.1,100.0
aita_436,16,2699.62,19640.81,1531.88,0.12,100.0
aita_437,16,2935.62,24169.75,1613.69,0.11,100.0
aita_438,16,2402.44,20052.31,1627.31,0.1,100.0
aita_439,16,2731.12,18127.88,1230.12,0.11,100.0
aita_440,16,2304.69,16419.0,1038.31,0.08,100.0
aita_441,16,2483.06,20375.06,1339.0,0.09,100.0
aita_442,16,2768.62,21423.44,1631.0,0.12,100.0
aita_443,16,2453.75,15285.0,1103.81,0.09,100.0
aita_444,15,3418.73,28061.4,1969.27,0.12,93.8
aita_445,16,2091.19,17644.5,1204.31,0.1,100.0
aita_446,16,2749.75,23222.0,1799.0,0.12,100.0
aita_447,16,3814.44,23337.75,1573.75,0.12,100.0
aita_448,16,3383.44,25362.62,1734.31,0.13,100.0
aita_449,16,1975.31,17379.19,1029.5,0.08,100.0
aita_450,16,2413.94,21236.5,1399.56,0.11,100.0
aita_451,16,3123.0,22314.5,1386.44,0.11,100.0
aita_452,16,2437.0,19020.31,1157.38,0.1,100.0
aita_453,16,2280.44,18180.81,1282.62,0.1,100.0
aita_454,16,2406.56,15793.38,1121.38,0.09,100.0
aita_455,16,2705.38,23167.94,1574.0,0.11,100.0
aita_456,16,3392.0,25741.31,1881.56,0.12,100.0
aita_457,16,3248.94,33188.06,1994.62,0.13,100.0
aita_458,16,2869.94,20051.88,1577.81,0.11,100.0
aita_459,16,2123.19,20598.12,1401.62,0.1,100.0
aita_460,16,3248.12,36728.31,1744.12,0.13,100.0
aita_461,16,2516.69,17540.81,1352.25,0.1,100.0
aita_462,16,2551.56,18328.62,1334.81,0.09,100.0
aita_463,16,3043.62,21961.81,1630.56,0.1,100.0
aita_464,16,3184.94,20569.56,1422.81,0.1,100.0
aita_465,16,2518.12,20226.94,1395.62,0.11,100.0
aita_466,16,3316.12,25055.12,1867.5,0.12,100.0
aita_467,16,2826.12,22085.44,1566.94,0.12,100.0
aita_468,16,2543.81,21055.0,1376.69,0.1,100.0
aita_469,16,1976.0,13539.25,1119.38,0.09,100.0
aita_470,16,3013.19,20666.31,1264.0,0.1,100.0
aita_471,16,2411.44,18427.38,1282.25,0.09,100.0
aita_472,16,2988.12,22856.88,1842.06,0.13,100.0
aita_473,16,2565.69,22571.5,1828.0,0.12,100.0
aita_474,16,2034.5,21217.69,1452.75,0.1,100.0
aita_475,16,2112.62,14592.94,840.69,0.07,100.0
aita_476,16,2923.38,15790.25,1330.5,0.11,100.0
aita_477,16,2387.88,19379.44,1468.06,0.1,100.0
aita_478,16,2794.88,16658.94,1081.19,0.08,100.0
aita_479,16,1894.31,14424.06,998.69,0.08,100.0
aita_480,16,2216.06,17144.94,1096.5,0.09,100.0
aita_481,16,2348.31,18179.56,1304.81,0.09,100.0
aita_482,16,2631.38,20265.31,1506.5,0.1,100.0
aita_483,16,2455.31,16182.06,1312.38,0.1,100.0
aita_484,16,2669.38,17278.31,1244.44,0.1,100.0
aita_485,16,2470.81,15395.06,1139.25,0.09,100.0
aita_486,16,2263.69,14908.19,1175.44,0.09,100.0
aita_487,16,1730.62,12790.81,910.94,0.08,100.0
aita_488,16,2555.31,26555.56,1581.88,0.11,100.0
aita_489,16,3013.31,18090.94,1369.56,0.1,100.0
aita_490,16,1987.25,22842.31,1164.88,0.09,100.0
aita_491,16,2413.94,15836.12,1119.38,0.09,100.0
aita_492,16,3163.62,25220.06,1758.06,0.13,100.0
aita_493,16,2272.0,15086.19,1291.31,0.11,100.0
aita_494,16,2436.81,22601.0,1522.06,0.1,100.0
aita_495,16,2698.31,19524.44,1425.5,0.11,100.0
aita_496,16,1995.44,21784.75,1241.06,0.09,100.0
aita_497,16,3573.56,24962.19,2112.88,0.14,100.0
aita_498,16,2110.06,26408.75,1304.5,0.09,100.0
aita_499,16,3056.88,23340.5,1912.38,0.12,100.0
aita_500,16,3039.06,20786.81,1365.5,0.1,100.0
aita_501,16,2402.31,15482.25,1154.25,0.09,100.0
aita_502,16,3198.88,23814.5,1758.94,0.12,100.0
aita_503,16,2745.44,22236.81,1418.25,0.1,100.0
aita_504,16,2178.56,13634.19,955.75,0.08,100.0
aita_505,16,2692.38,20047.75,1396.69,0.1,100.0
aita_506,16,2113.56,15443.56,1252.31,0.1,100.0
aita_507,16,2360.69,18410.19,1260.06,0.09,100.0
aita_508,16,4256.69,26346.5,2122.69,0.14,100.0
aita_509,16,1660.88,14639.62,1053.75,0.08,100.0
aita_510,16,1787.5,20628.38,1061.12,0.09,100.0
aita_511,16,3498.19,21698.19,1372.06,0.11,100.0
aita_512,16,3488.56,22626.38,1557.19,0.11,100.0
aita_513,16,3927.12,25979.69,1957.56,0.14,100.0
aita_514,16,2699.81,23000.25,1313.19,0.1,100.0
aita_515,16,3597.25,27346.31,2256.44,0.14,100.0
aita_516,16,3973.31,26086.12,2550.69,0.14,100.0
aita_517,16,2474.88,18490.62,1316.69,0.1,100.0
aita_518,16,2337.0,17092.31,1205.25,0.09,100.0
aita_519,16,3714.94,26745.44,1786.94,0.13,100.0
aita_520,16,3580.06,26526.44,1439.31,0.11,100.0
aita_521,16,2517.38,24385.19,1413.69,0.09,100.0
aita_522,16,2689.56,21886.19,1459.88,0.1,100.0
aita_523,16,4202.25,25378.31,2146.69,0.14,100.0
aita_524,16,2786.38,20290.62,1480.12,0.11,100.0
aita_525,16,2587.75,15537.25,1312.75,0.1,100.0
aita_526,16,3254.12,27506.56,2544.19,0.14,100.0
aita_527,16,2488.44,19169.88,1414.81,0.1,100.0
aita_528,16,2937.06,20089.94,1258.56,0.09,100.0
aita_529,16,1900.56,12546.44,966.56,0.08,100.0
aita_530,16,2554.88,16825.12,1229.19,0.1,100.0
aita_531,16,3199.56,22232.69,1647.25,0.13,100.0
aita_532,16,2933.81,21459.69,1307.62,0.1,100.0
aita_533,16,2923.75,22829.38,1868.88,0.12,100.0
aita_534,16,1580.12,15721.25,858.88,0.07,100.0
aita_535,16,2689.88,17266.88,1275.25,0.1,100.0
aita_536,16,2842.31,25288.19,1743.88,0.12,100.0
aita_537,16,2492.0,18453.88,1388.62,0.1,100.0
aita_538,16,2528.44,21799.5,1418.44,0.1,100.0
aita_539,16,2151.62,19782.0,1316.62,0.11,100.0
aita_540,16,2816.12,22439.56,1575.88,0.11,100.0
aita_541,16,1986.69,15541.12,1142.94,0.1,100.0
aita_542,16,3449.56,20037.19,1437.0,0.11,100.0
aita_543,16,2557.88,25333.94,1592.69,0.11,100.0
aita_544,16,2538.25,15788.81,1114.25,0.08,100.0
aita_545,16,2659.19,17528.56,1335.25,0.1,100.0
aita_546,16,3064.19,24052.81,1574.44,0.11,100.0
aita_547,16,2434.75,21634.31,1492.5,0.11,100.0
aita_548,16,2204.56,22218.0,1619.44,0.1,100.0
aita_549,16,2641.69,27264.0,1724.88,0.12,100.0
aita_550,16,3364.56,24850.62,1659.94,0.12,100.0
aita_551,16,2810.88,19333.12,1267.31,0.1,100.0
aita_552,16,1463.38,13045.94,955.5,0.07,100.0
aita_553,16,2108.62,20929.88,1475.81,0.09,100.0
aita_554,16,3809.56,25142.25,1660.44,0.12,100.0
aita_555,16,2493.12,19868.06,1514.12,0.12,100.0
aita_556,16,2670.62,24339.75,1811.94,0.12,100.0
aita_557,16,3148.81,28960.56,1783.19,0.12,100.0
aita_558,16,3350.5,25781.38,2045.12,0.13,100.0
aita_559,16,2616.56,19813.81,1525.31,0.1,100.0
aita_560,16,2430.38,20662.75,1756.75,0.11,100.0
aita_561,16,4436.0,27358.69,2761.69,0.17,100.0
aita_562,16,1564.44,14761.0,1187.88,0.08,100.0
aita_563,16,3410.62,21962.0,1366.5,0.1,100.0
aita_564,16,2505.88,19515.31,1171.81,0.1,100.0
aita_565,16,2682.0,20769.19,1099.88,0.09,100.0
aita_566,16,3015.44,20430.06,1607.5,0.11,100.0
aita_567,16,2066.69,17150.12,1055.12,0.08,100.0
aita_568,15,3111.27,23620.87,1502.93,0.11,93.8
aita_569,16,1545.5,11674.5,930.88,0.07,100.0
aita_570,16,2736.19,24571.44,1657.88,0.11,100.0
aita_571,16,2502.25,19892.62,1676.0,0.11,100.0
aita_572,16,3015.88,24840.19,2406.75,0.15,100.0
aita_573,16,3281.88,28132.19,1805.56,0.12,100.0
aita_574,16,2602.81,18076.75,1079.31,0.1,100.0
aita_575,16,2887.06,27086.0,1972.69,0.14,100.0
aita_576,16,2148.44,17606.94,1115.19,0.09,100.0
aita_577,16,1721.12,13890.75,1058.0,0.08,100.0
aita_578,16,2530.0,21558.38,1538.81,0.1,100.0
aita_579,16,2372.62,19157.31,1382.25,0.1,100.0
aita_580,16,2247.0,22925.38,1834.81,0.11,100.0
aita_581,16,2473.88,19201.5,1210.06,0.11,100.0
aita_582,16,2159.75,16425.56,1101.25,0.08,100.0
aita_583,16,2573.31,21927.19,1315.62,0.11,100.0
aita_584,16,1986.0,15076.38,988.75,0.08,100.0
aita_585,16,2432.81,19395.88,1445.12,0.12,100.0
aita_586,16,2059.81,14568.62,912.0,0.08,100.0
aita_587,16,2026.38,14266.75,1083.25,0.08,100.0
aita_588,16,2731.81,21463.38,1129.75,0.09,100.0
aita_589,16,2664.25,22377.75,1746.88,0.13,100.0
aita_590,16,2569.81,22770.19,1455.06,0.12,100.0
aita_591,16,2485.25,16085.0,1274.31,0.1,100.0
aita_592,16,2113.0,21253.69,1557.69,0.1,100.0
aita_593,16,4038.44,34164.69,1874.94,0.14,100.0
aita_594,16,3401.12,25974.94,2128.25,0.13,100.0
aita_595,16,1648.56,11642.56,754.94,0.06,100.0
aita_596,16,2814.62,19721.12,1468.0,0.11,100.0
aita_597,15,3563.73,26792.13,1830.33,0.12,93.8
aita_598,16,2112.19,16652.0,1237.38,0.09,100.0
aita_599,16,2105.94,13910.12,1009.88,0.08,100.0
aita_600,16,2853.44,17880.38,1178.62,0.1,100.0
aita_601,16,2819.88,34556.75,1722.44,0.12,100.0
aita_602,16,2492.5,17460.25,1067.31,0.1,100.0
aita_603,16,2414.69,19036.62,1157.81,0.09,100.0
aita_604,16,3203.62,20452.38,1581.31,0.11,100.0
aita_605,16,1642.25,13945.19,795.56,0.07,100.0
aita_606,16,2616.56,18002.62,950.0,0.08,100.0
aita_607,16,2458.56,20071.44,1229.31,0.1,100.0
aita_608,16,2205.62,14010.31,1146.38,0.09,100.0
aita_609,16,3227.25,24382.12,1595.31,0.11,100.0
aita_610,16,2819.12,20914.44,1553.0,0.12,100.0
aita_611,16,2606.69,19281.44,1365.31,0.1,100.0
aita_612,16,1823.38,21880.31,1228.62,0.08,100.0
aita_613,16,2502.25,24833.12,1755.19,0.12,100.0
aita_614,16,3487.62,23620.19,1673.94,0.12,100.0
aita_615,16,2537.06,27965.25,1499.94,0.1,100.0
aita_616,16,2437.0,17296.25,1304.19,0.1,100.0
aita_617,15,4040.8,29534.0,2712.67,0.14,93.8
aita_618,16,2085.81,19126.12,1688.12,0.11,100.0
aita_619,16,3774.88,27205.12,1882.31,0.13,100.0
aita_620,16,1767.31,14580.69,1037.5,0.08,100.0
aita_621,16,1907.56,15296.81,1213.0,0.09,100.0
aita_622,16,2528.31,23671.44,1727.81,0.11,100.0
aita_623,16,2573.62,17559.0,1286.5,0.09,100.0
aita_624,16,2035.69,17601.19,1396.31,0.1,100.0
aita_625,16,2722.44,23163.81,1589.5,0.11,100.0
aita_626,16,3567.75,26583.75,2018.88,0.13,100.0
aita_627,16,2001.88,20646.88,1504.81,0.11,100.0
aita_628,16,2148.38,22034.12,1404.44,0.1,100.0
aita_629,16,2184.25,17492.94,1216.38,0.09,100.0
aita_630,16,3456.06,25785.06,1859.12,0.14,100.0
aita_631,16,2437.56,19042.69,1677.88,0.11,100.0
aita_632,16,2609.56,18479.19,1342.06,0.1,100.0
aita_633,16,1727.69,15083.5,815.12,0.07,100.0
aita_634,16,4001.69,29356.31,2413.19,0.14,100.0
aita_635,16,3001.19,20406.56,1526.31,0.12,100.0
aita_636,16,2837.44,17675.94,1290.44,0.1,100.0
aita_637,16,2542.88,24881.06,1742.69,0.11,100.0
aita_638,16,3841.81,22144.69,1546.69,0.12,100.0
aita_639,16,2625.25,15542.88,1196.19,0.09,100.0
aita_640,16,2696.69,16721.19,1307.88,0.1,100.0
aita_641,16,2378.31,17760.94,1071.12,0.08,100.0
aita_642,16,2331.75,21383.56,1096.75,0.08,100.0
aita_643,16,3533.44,26720.25,1702.25,0.12,100.0
aita_644,16,1576.06,11632.88,842.12,0.07,100.0
aita_645,16,2974.12,20551.62,1624.56,0.11,100.0
aita_646,16,3294.25,28123.81,1898.75,0.14,100.0
aita_647,16,2562.31,22528.44,1429.19,0.1,100.0
aita_648,16,2750.06,22527.12,1364.19,0.12,100.0
aita_649,16,2894.06,16692.56,1010.62,0.1,100.0
aita_650,16,3577.5,30653.5,2014.0,0.13,100.0
aita_651,16,1983.06,15245.75,1073.0,0.08,100.0
aita_652,16,3208.19,26078.31,1741.75,0.12,100.0
aita_653,16,2899.12,17424.25,1356.25,0.11,100.0
aita_654,16,2804.94,24650.38,1803.25,0.12,100.0
aita_655,16,1377.12,14628.94,809.5,0.06,100.0
aita_656,16,2468.69,15194.38,1184.06,0.09,100.0
aita_657,16,2070.81,17274.75,1030.25,0.08,100.0
aita_658,16,2599.94,20344.5,1538.88,0.1,100.0
aita_659,16,2077.25,22528.0,1698.88,0.11,100.0
aita_660,16,2427.69,19535.31,1733.19,0.12,100.0
aita_661,16,2273.56,20332.88,1405.62,0.11,100.0
aita_662,16,2606.88,17176.5,1203.0,0.1,100.0
aita_663,16,2491.94,14309.94,1129.69,0.09,100.0
aita_664,16,2417.56,15226.25,1278.06,0.1,100.0
aita_665,16,3038.06,20125.06,1313.06,0.11,100.0
aita_666,16,2280.25,21455.0,1425.19,0.09,100.0
aita_667,16,2568.5,24565.19,1753.56,0.11,100.0
aita_668,16,1867.56,16759.5,1403.25,0.09,100.0
aita_669,16,3456.25,23469.75,1561.19,0.11,100.0
aita_670,16,2592.06,16243.44,1316.44,0.09,100.0
aita_671,16,2492.5,19473.44,1400.62,0.1,100.0
aita_672,16,3012.0,25806.75,1634.25,0.1,100.0
aita_673,16,3531.31,30466.5,1630.0,0.11,100.0
aita_674,16,3060.38,20835.56,1622.69,0.13,100.0
aita_675,16,2194.12,15461.56,1113.75,0.09,100.0
aita_676,16,3131.62,23397.69,1526.69,0.11,100.0
aita_677,16,2611.5,19105.5,1485.31,0.1,100.0
aita_678,16,2272.56,15515.12,1262.69,0.1,100.0
aita_679,16,2384.62,17549.0,1394.69,0.1,100.0
aita_680,16,2493.62,16258.69,1241.38,0.1,100.0
aita_681,16,2397.0,17721.12,1334.19,0.1,100.0
aita_682,16,1954.94,14807.75,970.38,0.08,100.0
aita_683,16,2619.88,16821.5,1417.88,0.11,100.0
aita_684,16,1997.12,20665.19,1432.94,0.1,100.0
aita_685,16,2410.56,18381.25,1271.94,0.11,100.0
aita_686,16,3241.38,22057.0,1623.56,0.12,100.0
aita_687,16,3615.12,25212.25,1530.81,0.12,100.0
aita_688,16,2091.69,14298.94,1041.62,0.08,100.0
aita_689,16,3011.81,27301.19,1844.56,0.12,100.0
aita_690,16,1833.19,19911.31,1558.31,0.09,100.0
aita_691,16,2917.0,24055.81,1431.88,0.11,100.0
aita_692,16,2643.56,15093.44,1140.69,0.09,100.0
aita_693,16,2803.12,21667.38,1761.75,0.11,100.0
aita_694,16,2681.88,16855.62,1076.94,0.09,100.0
aita_695,16,2124.38,16145.0,1313.25,0.1,100.0
aita_696,16,3047.88,18988.56,1419.0,0.12,100.0
aita_697,16,2380.69,19748.88,1257.12,0.09,100.0
aita_698,16,1973.0,15637.12,1252.69,0.09,100.0
aita_699,16,2991.88,18964.06,1268.31,0.09,100.0
aita_700,16,2778.0,22913.56,1674.0,0.11,100.0
aita_701,16,2148.69,14461.69,1048.88,0.09,100.0
aita_702,16,2268.12,31904.62,1557.25,0.12,100.0
aita_703,16,2284.56,15986.75,1288.88,0.1,100.0
aita_704,16,3128.94,30028.25,1759.44,0.12,100.0
aita_705,16,3834.25,32477.44,1899.81,0.13,100.0
aita_706,16,3320.69,22000.62,1790.94,0.12,100.0
aita_707,16,2590.88,20704.0,1364.31,0.1,100.0
aita_708,16,2080.25,19779.12,1288.25,0.09,100.0
aita_709,16,3135.81,21201.0,1420.75,0.11,100.0
aita_710,16,2344.25,17026.75,1229.31,0.1,100.0
aita_711,16,2765.81,19422.56,1503.44,0.1,100.0
aita_712,16,2204.25,21493.94,1463.81,0.1,100.0
aita_713,16,2471.0,18040.19,1429.5,0.1,100.0
aita_714,16,3061.25,27210.75,1816.19,0.13,100.0
aita_715,16,2855.69,23702.12,1601.25,0.11,100.0
aita_716,16,2927.69,30557.25,1646.69,0.11,100.0
aita_717,16,2294.69,24672.0,1851.62,0.12,100.0
aita_718,16,2817.62,19987.19,1418.06,0.1,100.0
aita_719,16,3173.0,25887.31,1393.38,0.11,100.0
aita_720,16,2954.81,20596.12,1307.81,0.1,100.0
aita_721,16,1831.81,15251.5,932.75,0.07,100.0
aita_722,16,3084.25,24645.75,1711.56,0.15,100.0
aita_723,16,3137.88,20156.44,1448.31,0.11,100.0
aita_724,16,3406.06,24740.0,1815.62,0.12,100.0
aita_725,16,2296.25,19438.75,1480.0,0.1,100.0
aita_726,16,2640.25,18972.12,1249.62,0.1,100.0
aita_727,16,3129.81,24576.69,1614.56,0.11,100.0
aita_728,16,2302.75,20016.5,1587.0,0.11,100.0
aita_729,16,3494.0,32686.62,2060.25,0.14,100.0
aita_730,16,2465.62,19847.19,1545.0,0.1,100.0
aita_731,16,3422.0,57714.0,3462.56,0.25,100.0
aita_732,16,2739.0,20713.56,1806.88,0.12,100.0
aita_733,16,2955.44,23167.62,1637.0,0.11,100.0
aita_734,16,3698.81,25091.88,1882.5,0.13,100.0
aita_735,16,2317.81,16777.62,1449.88,0.1,100.0
aita_736,16,3358.5,27055.5,1719.0,0.13,100.0
aita_737,16,1789.44,14392.44,1016.19,0.08,100.0
aita_738,16,2307.62,14695.12,1137.25,0.09,100.0
aita_739,16,1760.19,14309.06,1192.25,0.09,100.0
aita_740,16,1672.94,13098.69,907.38,0.07,100.0
aita_741,15,2290.07,12204.8,959.73,0.08,93.8
aita_742,16,2149.5,17456.5,1329.75,0.09,100.0
aita_743,16,3185.81,24127.19,2289.5,0.13,100.0
aita_744,16,2790.56,20086.5,1118.38,0.09,100.0
aita_745,16,3279.81,17658.0,1391.0,0.11,100.0
aita_746,16,3467.25,19665.0,1458.62,0.11,100.0
aita_747,16,2413.81,25326.0,1742.19,0.11,100.0
aita_748,16,4025.44,30907.88,1962.94,0.14,100.0
aita_749,16,2676.0,18538.88,1257.94,0.1,100.0
aita_750,16,1941.06,17162.69,927.62,0.07,100.0
aita_751,16,2962.75,21727.81,1603.38,0.12,100.0
aita_752,16,2462.88,21109.5,1188.0,0.09,100.0
aita_753,16,3136.12,27177.06,1419.69,0.1,100.0
aita_754,16,2265.56,16497.25,1334.56,0.1,100.0
aita_755,16,2869.0,20268.44,1546.0,0.11,100.0
aita_756,16,2626.94,20562.19,1311.62,0.09,100.0
aita_757,16,2447.94,25065.19,1561.0,0.1,100.0
aita_758,16,2178.38,20063.0,1348.06,0.1,100.0
aita_759,16,2514.19,26811.38,1813.69,0.11,100.0
aita_760,16,3401.88,28956.31,1989.38,0.14,100.0
aita_761,16,2680.06,20420.81,1571.5,0.12,100.0
aita_762,16,2051.56,18105.5,1420.31,0.1,100.0
